id,label
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,1
530,1
531,1
532,0
